Solving the file: X-n219-k73.vrp
PyVRP v0.10.1

Solving an instance with:
    1 depot
    218 clients
    218 vehicles (1 vehicle type)

                  |       Feasible        |      Infeasible
   172000   3568s |  26    26280    25817 |  53    25666    25378
   172500   3575s |  32    25984    25816 |  57    25876    25719
   173000   3586s |  34    25924    25809 |  54    25919    25716
   173500   3597s |  34    25946    25809 |  47    25876    25756

Search terminated in 3600.02s after 173636 iterations.
Best-found solution has cost 25745.

Solution results
================
    # routes: 23
   # clients: 227
   objective: 25745
    distance: 25745
    duration: 25745
# iterations: 173636
    run-time: 3600.02 seconds

Solving the file: X-n233-k16.vrp
PyVRP v0.10.1

Solving an instance with:
    1 depot
    232 clients
    232 vehicles (1 vehicle type)

                  |       Feasible        |      Infeasible
    Iters    Time |   #      Avg     Best |   #      Avg     Best
H     500      8s |  26    25748    19639 |  26    19625    19335
H    1000     14s |  43    23309    19494 |  52    20046    19384
H    1500     21s |  35    24169    19426 |  50    19649    19351
H    2000     27s |  61    22196    19414 |  51    19939    19310
H    2500     33s |  63    21987    19400 |  65    19520    19334
H    3000     39s |  59    19584    19392 |  52    19556    19276
     3500     45s |  61    19599    19392 |  33    19819    19292
H    4000     51s |  41    19479    19384 |  64    19484    19282
     4500     56s |  48    19633    19384 |  32    19709    19285
     5000     63s |  57    19520    19384 |  51    19455    19305
H    5500     69s |  26    19526    19378 |  33    19014    18514
H    6000     75s |  61    19542    19375 |  48    19454    19292
     6500     81s |  35    19480    19375 |  34    19436    19279
     7000     87s |  57    19563    19375 |  39    19092    18448
     7500     93s |  33    19529    19375 |  62    19479    19363
     8000     99s |  49    19471    19375 |  61    19317    18598
H    8500    106s |  45    19582    19353 |  31    19526    19298
     9000    113s |  59    19581    19353 |  39    19478    19300
H    9500    119s |  48    19508    19340 |  49    19399    19224
H   10000    126s |  65    19608    19336 |  32    18949    18497
    10500    132s |  42    19492    19336 |  42    19631    19308
    11000    140s |  52    19684    19336 |  58    19576    19280
    11500    145s |  44    19504    19336 |  25    19393    19241
    12000    151s |  36    19491    19336 |  55    19397    19214
    12500    157s |  27    19456    19336 |  34    19154    18418
    13000    163s |  63    19731    19336 |  39    19491    19142
    13500    169s |  35    19520    19336 |  55    19516    19307
    14000    176s |  32    19566    19336 |  40    19842    19276
    14500    182s |  64    19580    19336 |  46    19519    19292
    15000    188s |  49    19522    19336 |  44    19557    19253
    15500    195s |  58    19543    19336 |  51    19275    18603
    16000    201s |  30    19529    19336 |  55    19495    19227
    16500    207s |  27    19496    19336 |  45    19364    19214
    17000    213s |  61    19640    19336 |  46    19454    19231
    17500    219s |  30    19473    19336 |  42    19847    19148
    18000    226s |  49    19603    19336 |  44    19514    19318
    18500    231s |  55    19615    19336 |  52    19198    18408
    19000    237s |  38    19494    19336 |  49    19406    19245
    19500    244s |  39    19473    19336 |  25    19586    19285
    20000    250s |  52    19538    19336 |  65    19522    19310
    20500    255s |  59    19494    19336 |  37    19366    19214
    21000    261s |  39    19568    19336 |  36    18986    18376
    21500    268s |  55    19463    19336 |  40    19393    19279
    22000    273s |  27    19417    19336 |  43    19485    19306
    22500    279s |  33    19443    19336 |  61    19435    19220
    23000    285s |  60    19677    19336 |  57    19714    19199
    23500    292s |  45    19509    19336 |  28    19425    19306
    24000    298s |  27    19515    19336 |  33    19614    19254
    24500    304s |  61    19465    19336 |  31    19344    19235
    25000    309s |  48    19479    19336 |  56    19470    19214
    25500    315s |  50    19637    19336 |  50    19798    19145
    26000    321s |  37    19520    19336 |  30    19362    19215
    26500    328s |  54    19779    19336 |  51    19670    19270
    27000    335s |  59    19693    19336 |  34    19647    19273
    27500    341s |  57    19490    19336 |  43    19404    19238
    28000    347s |  62    19616    19336 |  58    19689    19302
    28500    354s |  35    19605    19336 |  33    19414    19224
    29000    361s |  63    19539    19336 |  48    19452    19274
    29500    367s |  50    19541    19336 |  25    19459    19251
R                 |        restart        |        restart
    30000    375s |  32    24627    19598 |  37    19638    19413
    30500    382s |  41    19701    19464 |  58    19351    18542
    31000    389s |  43    19770    19426 |  63    19856    19287
    31500    395s |  28    19592    19366 |  62    19485    19314
    32000    401s |  29    19428    19349 |  49    19456    19265
    32500    406s |  51    19531    19342 |  37    19253    19155
    33000    412s |  46    19446    19342 |  40    19340    19225
    33500    418s |  49    19533    19342 |  63    19362    19213
    34000    425s |  29    19472    19342 |  53    19392    19221
    34500    431s |  59    19669    19342 |  36    19492    19161
    35000    437s |  35    19554    19342 |  51    18978    18491
    35500    444s |  33    19563    19342 |  32    19481    19213
    36000    450s |  58    19593    19342 |  39    19013    18387
    36500    456s |  31    19502    19342 |  57    19296    19137
    37000    463s |  63    19553    19342 |  44    19373    19219
    37500    469s |  27    19400    19342 |  52    19318    19211
    38000    476s |  33    19558    19342 |  34    19477    19251
    38500    482s |  65    19560    19342 |  49    19558    19346
    39000    488s |  61    19588    19342 |  58    19547    19217
    39500    495s |  61    19542    19342 |  39    19260    19139
    40000    501s |  32    19542    19337 |  48    19355    19235
    40500    507s |  47    19517    19337 |  27    19329    19220
    41000    514s |  52    19519    19337 |  58    19499    19328
    41500    520s |  62    19619    19337 |  43    19457    19145
    42000    527s |  50    19609    19337 |  54    19741    19137
    42500    532s |  52    19514    19337 |  55    19305    19211
H   43000    539s |  26    19466    19334 |  62    19145    18368
    43500    545s |  61    19526    19334 |  26    19371    19249
H   44000    552s |  46    19685    19331 |  38    19845    19181
    44500    558s |  37    19511    19331 |  44    19634    19211
    45000    565s |  62    19543    19331 |  65    19222    18477
    45500    571s |  38    19537    19331 |  41    19492    19229
    46000    578s |  34    19552    19331 |  34    19355    19136
    46500    584s |  59    19472    19331 |  42    19169    19059
    47000    590s |  50    19558    19331 |  28    19251    18580
    47500    596s |  63    19756    19331 |  63    19744    19182
    48000    602s |  26    19568    19331 |  32    19393    19213
    48500    608s |  47    19562    19331 |  36    19378    19214
    49000    615s |  49    19564    19331 |  27    19394    19242
    49500    621s |  55    19579    19331 |  50    19314    18480
    50000    627s |  55    19531    19331 |  52    19423    19224
    50500    633s |  51    19660    19331 |  41    19369    19149
    51000    639s |  46    19502    19331 |  54    19408    19213
    51500    646s |  41    19531    19331 |  50    19321    19213
    52000    652s |  58    19566    19331 |  65    19403    19213
    52500    659s |  48    19529    19331 |  52    19383    19214
    53000    665s |  38    19578    19331 |  28    19283    18785
    53500    672s |  51    19628    19331 |  54    19472    19216
H   54000    679s |  28    19592    19328 |  44    19548    19246
    54500    685s |  50    19562    19328 |  50    19533    19213
    55000    691s |  50    19685    19328 |  48    19631    19157
    55500    698s |  36    19555    19328 |  49    19530    19213
H   56000    704s |  58    19536    19313 |  29    19300    19213
H   56500    709s |  52    19405    19295 |  33    19236    19146
H   57000    715s |  60    19551    19283 |  57    19575    19147
    57500    720s |  65    19431    19283 |  27    19310    19157
    58000    726s |  38    19484    19283 |  62    19226    18540
    58500    733s |  32    19494    19283 |  31    19339    19223
H   59000    739s |  34    19371    19267 |  36    19310    19175
    59500    744s |  63    19494    19267 |  29    19402    19224
H   60000    750s |  65    19535    19246 |  53    19614    19270
    60500    756s |  56    19494    19246 |  49    19412    19236
    61000    762s |  56    19466    19246 |  49    19383    19195
    61500    768s |  45    19469    19246 |  26    19394    19247
    62000    775s |  35    19423    19246 |  54    19590    19247
    62500    780s |  47    19431    19246 |  64    19376    19173
    63000    786s |  61    19418    19246 |  35    19299    19162
    63500    791s |  29    19375    19246 |  44    19297    19245
    64000    797s |  55    19505    19246 |  43    19315    19166
    64500    803s |  34    19386    19246 |  51    19323    19166
    65000    808s |  43    19508    19246 |  39    19481    19251
    65500    815s |  38    19509    19246 |  33    19334    19200
    66000    821s |  56    19494    19246 |  54    19386    19237
    66500    828s |  53    19548    19246 |  35    19443    19246
    67000    835s |  35    19498    19246 |  28    19306    19231
    67500    841s |  54    19437    19246 |  37    19291    19210
    68000    847s |  31    19419    19246 |  51    19151    18501
    68500    854s |  61    19589    19246 |  50    19663    19236
    69000    859s |  36    19391    19246 |  57    19206    18877
H   69500    865s |  43    19431    19242 |  27    19268    19188
    70000    872s |  30    19339    19242 |  48    19437    19240
    70500    878s |  60    19376    19242 |  39    19455    19240
    71000    884s |  39    19504    19242 |  36    19543    19240
    71500    890s |  57    19443    19242 |  34    19342    19183
    72000    897s |  54    19490    19242 |  50    19243    18620
    72500    903s |  63    19465    19242 |  65    19474    19240
    73000    909s |  26    19412    19242 |  52    19360    19239
    73500    916s |  39    19501    19242 |  27    19420    19240
    74000    922s |  28    19435    19242 |  54    19073    18575
    74500    928s |  39    19463    19242 |  54    19129    18567
